mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4318691730499268,0.021914603499112024,0.00902261734008789,0.0018137023970152617,3,0.9,0.9,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.53,0.55,0.55,0.51,0.535,0.535,0.01483239697419134,65
0.46502203941345216,0.02455997749934508,0.009728384017944337,0.0016835119368406187,3,0.9,0.9,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.07}",0.525,0.535,0.55,0.535,0.51,0.531,0.01319090595827293,109
0.4143000602722168,0.027020275876889294,0.008917284011840821,0.0014830197495367902,3,0.9,0.9,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.1}",0.5,0.535,0.53,0.525,0.5,0.518,0.015033296378372923,236
0.4264275550842285,0.01705047434053546,0.0087982177734375,0.0015766101903903584,3,0.9,1.0,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.51,0.595,0.55,0.505,0.505,0.533,0.03529872518944557,96
0.4677375316619873,0.021554018673873958,0.009696054458618163,0.0016480568236965129,3,0.9,1.0,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.535,0.545,0.535,0.5,0.53,0.5290000000000001,0.015297058540778367,134
0.4789973258972168,0.019217304114225276,0.010649299621582032,0.002267851393354854,3,0.9,1.0,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.07}",0.525,0.545,0.535,0.51,0.505,0.524,0.014966629547095779,189
0.4574216365814209,0.012686636982546321,0.009621381759643555,0.00045175213638366107,3,0.9,1.0,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.1}",0.535,0.525,0.53,0.51,0.495,0.519,0.014628738838327807,232
0.42048277854919436,0.019554205577423878,0.010117435455322265,0.0006378708001690605,3,1.0,0.7,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.505,0.55,0.54,0.525,0.495,0.523,0.02063976744055031,198
0.46242642402648926,0.02523360677827386,0.009754657745361328,0.002131386511271056,3,1.0,0.7,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.555,0.555,0.55,0.525,0.505,0.538,0.019899748742132416,37
0.3998816967010498,0.0172442173867832,0.00984487533569336,0.0016949116159004126,3,1.0,0.7,0.07,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.07}",0.545,0.545,0.53,0.52,0.5,0.528,0.016911534525287777,147
0.42986884117126467,0.029985581248479286,0.009342193603515625,0.002160235176726586,3,1.0,0.7,0.1,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.1}",0.525,0.545,0.525,0.51,0.505,0.522,0.014000000000000012,207
0.5364322185516357,0.02295282336167511,0.013894462585449218,0.003830475225823702,3,1.0,0.8,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.545,0.55,0.55,0.54,0.525,0.542,0.009273618495495713,13
